year,ISO_code,countries,region,pf_rol_procedural,pf_rol_civil,pf_rol_criminal,pf_rol,pf_ss_homicide,pf_ss_disappearances_disap,pf_ss_disappearances_violent,pf_ss_disappearances_organized,pf_ss_disappearances_fatalities,pf_ss_disappearances_injuries,pf_ss_disappearances,pf_ss_women_fgm,pf_ss_women_missing,pf_ss_women_inheritance_widows,pf_ss_women_inheritance_daughters,pf_ss_women_inheritance,pf_ss_women,pf_ss,pf_movement_domestic,pf_movement_foreign,pf_movement_women,pf_movement,pf_religion_estop_establish,pf_religion_estop_operate,pf_religion_estop,pf_religion_harassment,pf_religion_restrictions,pf_religion,pf_association_association,pf_association_assembly,pf_association_political_establish,pf_association_political_operate,pf_association_political,pf_association_prof_establish,pf_association_prof_operate,pf_association_prof,pf_association_sport_establish,pf_association_sport_operate,pf_association_sport,pf_association,pf_expression_killed,pf_expression_jailed,pf_expression_influence,pf_expression_control,pf_expression_cable,pf_expression_newspapers,pf_expression_internet,pf_expression,pf_identity_legal,pf_identity_parental_marriage,pf_identity_parental_divorce,pf_identity_parental,pf_identity_sex_male,pf_identity_sex_female,pf_identity_sex,pf_identity_divorce,pf_identity,pf_score,pf_rank,ef_government_consumption,ef_government_transfers,ef_government_enterprises,ef_government_tax_income,ef_government_tax_payroll,ef_government_tax,ef_government,ef_legal_judicial,ef_legal_courts,ef_legal_protection,ef_legal_military,ef_legal_integrity,ef_legal_enforcement,ef_legal_restrictions,ef_legal_police,ef_legal_crime,ef_legal_gender,ef_legal,ef_money_growth,ef_money_sd,ef_money_inflation,ef_money_currency,ef_money,ef_trade_tariffs_revenue,ef_trade_tariffs_mean,ef_trade_tariffs_sd,ef_trade_tariffs,ef_trade_regulatory_nontariff,ef_trade_regulatory_compliance,ef_trade_regulatory,ef_trade_black,ef_trade_movement_foreign,ef_trade_movement_capital,ef_trade_movement_visit,ef_trade_movement,ef_trade,ef_regulation_credit_ownership,ef_regulation_credit_private,ef_regulation_credit_interest,ef_regulation_credit,ef_regulation_labor_minwage,ef_regulation_labor_firing,ef_regulation_labor_bargain,ef_regulation_labor_hours,ef_regulation_labor_dismissal,ef_regulation_labor_conscription,ef_regulation_labor,ef_regulation_business_adm,ef_regulation_business_bureaucracy,ef_regulation_business_start,ef_regulation_business_bribes,ef_regulation_business_licensing,ef_regulation_business_compliance,ef_regulation_business,ef_regulation,ef_score,ef_rank,hf_score,hf_rank,hf_quartile
2015,ALB,Albania,Eastern Europe,6.108120619,4.802975012,4.583262588,5.164786073,9.096927089,10,10,10,10,10,10,10,7.5,5,5,5,7.5,8.865642363,5,10,5,6.666666667,,,10,9.233333333,8.472222222,9.235185185,10,10,,,10,,,10,,,10,10,10,10,5,5.5,10,10,10,8.642857143,0,10,10,10,10,10,10,5,6.25,7.587078008,61,8.185294118,7.509902296,8,9,7,8,7.923799103,2.746046899,2.97014404,4.228486942,8.333333333,4.166666667,4.387444055,6.386673239,6.719298363,6.278342661,0.948717949,5.003488819,9.292549966,9.427512888,9.622438094,10,9.585625237,9.353333333,9.24,8.024,8.872444444,5.439022597,9.405327776,7.422175186,10,5.553254317,4.615384615,8.296923099,6.155187344,8.112451744,5,7.629,10,7.543,5.566666667,5.026637868,6.090413268,8,6.299740913,10,6.830576453,6.080709213,6,9.733822237,4.186487668,7.324944072,7.074365792,6.733388164,7.035654872,7.53,34,7.558539004,49,2
2015,DZA,Algeria,Middle East & North Africa,,,,3.895039415,9.456253595,10,9.080379697,5,9.824436124,9.904693896,8.761901943,10,7.5,0,0,0,5.833333333,8.017162957,5,5,5,5,,,5,6.895555556,4.072222222,5.322592593,5,5,,,5,,,5,,,5,5,10,10,2.666666667,4.25,10,7.5,7.5,7.416666667,,0,5,2.5,0,0,0,0,0.833333333,5.335309852,142,1.611764706,7.817129014,0,7,2,4.5,3.48222343,4.072191392,4.156907806,4.388349541,4.166666667,5,4.507538039,6.626692153,6.08695666,5.999988958,0.820512821,4.551817203,7.025469628,6.342685256,9.043004607,5,6.852789873,8.48,6.24,5.7888,6.836266667,4.287389015,0,2.143694508,5.563909774,3.363314281,0,1.106256413,1.489856898,4.008431962,0,5.571,10,5.190333333,5.566666667,3.783949637,5.545816433,6,7.755176154,1,4.941934815,3.74800323,1.555555556,9.243069793,3.598525621,8.797559902,7.029528486,5.662040431,5.264769527,4.83,156,5.082654926,152,4
2015,AGO,Angola,Sub-Saharan Africa,,,,3.512106161,8.060260239,5,10,7.5,10,10,8.5,10,10,5,5,5,8.333333333,8.297864524,0,5,10,5,,,10,8.815555556,7.455555556,8.757037037,2.5,2.5,,,2.5,,,5,,,7.5,4,10,10,3.333333333,2.5,7.5,5,7.5,6.547619048,10,10,10,10,0,0,0,10,7.5,6.13295828,114,6.235294118,8.886739306,0,10,9,9.5,6.155508356,1.843129164,1.974565724,2.512364187,3.333333333,4.166666667,2.302200397,5.423011165,3.016103987,4.291196631,0.846153846,2.960263718,9.052059273,5.545665113,7.944134656,5,6.88546476,8.92,7.72,4.2544,6.9648,3.132738335,0,1.566369167,10,2.94691933,3.076923077,0.110625641,2.044822683,5.143997963,8,9.194715492,9,8.731571831,8.9,2.656197601,5.172987096,4,6.632764231,0,4.560324821,2.758427817,1.555555556,8.558532044,2.166511021,7.607170846,6.782923304,4.904853431,6.065583361,5.44,148,5.78647914,137,4
2015,ARG,Argentina,Latin America & the Caribbean,6.675261651,5.674435284,4.25560255,5.535099829,7.386323317,10,10,7.5,10,10,9.5,10,10,10,10,10,10,8.962107772,10,10,10,10,,,7.5,8.944444444,7.222222222,7.888888889,7.5,10,,,5,,,7.5,,,7.5,7.5,10,10,5.333333333,5,10,10,10,8.619047619,10,10,10,10,10,10,10,10,10,8.025095551,45,5.285294118,6.048930423,6,7,1,4,5.333556135,3.030578338,2.894794941,3.655030465,7.5,3.333333333,4.123465983,6.857195103,3.280141751,4.152791353,0.769230769,3.81636162,5.179317925,5.918005001,4.724,10,6.455330731,4.153333333,7.28,6.0288,5.820711111,4.037772209,5.15562923,4.59670072,0,4.782937331,0.769230769,7.965046175,4.505738092,3.730787481,5,5.286,10,6.762,1.666666667,2.258974344,3.352490266,10,2.517253846,10,4.965897521,2.050997123,4.444444444,9.101895171,2.595698675,5.351838403,5.975851798,4.920120936,5.549339485,4.98,153,6.502547776,107,3
2015,ARM,Armenia,Caucasus & Central Asia,,,,4.679989714,8.97152848,10,10,7.5,10,9.931435232,9.486287046,10,5,10,10,10,8.333333333,8.930382953,5,5,10,6.666666667,,,5,8.555555556,5.555555556,6.37037037,7.5,7.5,,,5,,,5,,,7.5,6.5,10,10,3.333333333,4.25,7.5,7.5,7.5,7.154761905,7,10,10,10,10,10,10,5,8,6.871773061,87,7.535294118,7.748532262,8,5,5,5,7.070956595,3.604283587,4.040783122,5.482346623,5.833333333,5,5.196692523,9.80196309,5.675675869,7.365155344,1,5.777803721,9.53589504,9.134324075,9.254682794,10,9.481225478,9.113333333,8.78,8.3896,8.760977778,6.14148033,8.466278563,7.303879447,10,5.332246787,5.384615385,10,6.905620724,8.242619487,10,6.987,10,8.995666667,5.566666667,6.014432176,7.36822549,10,8.992707249,0,6.32367193,4.573262229,5.777777778,9.862479853,4.399461601,9.5480102,6.491480816,6.775412079,7.364916892,7.59,29,7.23088653,63,2
2015,AUS,Australia,Oceania,8.495797689,7.667774363,7.51814726,7.893906437,9.603353945,10,10,10,9.972048438,10,9.994409688,10,10,10,10,10,10,9.865921211,10,10,10,10,,,10,8.666666667,8.755555556,9.140740741,10,10,,,10,,,10,,,10,10,10,10,8,7.5,10,10,10,9.357142857,7,10,10,10,10,10,10,10,9.25,9.214745272,11,4.708823529,6.664947872,10,5,5,5,6.59344285,8.729690834,5.94367355,8.090725441,10,9.166666667,6.163151928,8.205654997,8.764045238,6.889687178,1,7.994810648,8.823098382,8.919129002,9.698326656,10,9.36013851,9.073333333,9.5,8.5,9.024444444,6.501839071,8.422491892,7.462165481,10,7.023069242,4.615384615,0.110625641,3.916359833,7.60074244,10,8.751,10,9.583666667,8.9,3.555915207,5.559640658,10,7.927854911,10,7.657235129,3.978294973,10,9.912605544,6.965338381,9.091938285,8.823020721,8.128532984,8.45647826,8,8,8.607372636,5,1
2015,AUT,Austria,Western Europe,9.373309391,8.027584801,8.331508695,8.577467629,9.78798563,10,10,10,10,10,10,10,10,10,10,10,10,9.929328543,10,10,10,10,,,10,8.222222222,6.477777778,8.233333333,10,10,,,10,,,10,,,10,10,10,10,7.333333333,7.75,10,10,10,9.297619048,10,10,10,10,10,10,10,10,10,9.379794281,3,3.694117647,3.10106205,10,4,3,3.5,5.073794924,7.290996561,6.187249637,8.194186049,10,10,6.220992578,8.10049394,8.634920915,7.511032535,1,8.015541357,8.759314604,9.886400243,9.820686767,10,9.616600404,9.100559738,8.98,7.0012,8.360586579,6.399057585,9.963313765,8.181185675,10,7.017330342,3.076923077,7.743794892,5.946016104,8.12194709,8,9.38,10,9.126666667,8.9,3.333333333,2.079198618,6,10,3,5.552088659,4.452577677,8.888888889,9.282536712,6.460748537,7.295935388,8.531578233,7.485377573,7.388044299,7.64,27,8.509897141,12,1
2015,AZE,Azerbaijan,Caucasus & Central Asia,,,,4.262049381,9.143499301,10,7.512783515,7.5,10,10,9.002556703,10,7.5,5,10,7.5,8.333333333,8.826463112,5,5,5,5,,,2.5,8.551111111,6.016666667,5.689259259,2.5,5,,,2.5,,,2.5,,,2.5,3,0,1.709278385,0.333333333,0.5,10,0,7.5,2.863230245,0,10,10,10,10,10,10,5,6.25,5.552377074,137,6.379411765,7.881207817,0,9,4,6.5,5.190154896,4.435002936,5.021871156,5.404651509,5,5.833333333,7.252962408,9.773614234,5.454725663,7.579224851,0.717948718,5.321383003,9.700889863,5.364751543,9.165606855,5,7.307812065,8.893333333,8.18,6.6148,7.896044444,5.590111997,7.636696029,6.613404013,10,5.655329757,4.615384615,1.438133337,3.902949237,7.103099424,5,8.718,9,7.572666667,8.333333333,5.839999994,7.451658514,8,7.755176154,1,6.396694666,5.516917441,6.444444444,9.890294599,4.504738413,7.600112646,7.814181339,6.96178148,6.977047604,6.38,115,5.966188537,131,4
2015,BHS,Bahamas,Latin America & the Caribbean,6.943622271,6.195883027,6.754618794,6.631374697,0,10,10,,10,10,10,,,,,,,5,10,10,,10,,,,9.355555556,6.25,7.802777778,,,,,,,,,,,,,10,10,8.333333333,7.5,,,,8.958333333,,10,10,10,10,10,10,,10,7.502982563,63,7.167647059,9.040503457,7,10,10,10,8.302037629,,6.6,,10,7.5,4.699256582,6.149350211,,,0.945945946,6.80080997,8.685871083,8.805351204,9.626,0,6.779305572,4.64,3.22,2.2708,3.376933333,,8.105924622,8.105924622,10,,0.769230769,10,5.384615385,6.716868335,10,5.868199597,10,8.622733199,8.9,,,8,6.546424852,10,8.361606213,,5.555555556,9.166682937,,7.981672077,7.388226933,7.523034376,8.169124596,7.35,50,7.426491282,52,2
2015,BHR,Bahrain,Middle East & North Africa,,,,5.972326253,9.790481421,10,10,2.5,8.78509998,6.792663948,7.615552786,10,7.5,0,0,0,5.833333333,7.746455847,10,5,5,6.666666667,,,10,8.288888889,4.994444444,7.761111111,5,0,,,0,,,10,,,10,5,10,0,0.666666667,0.75,7.5,7.5,2.5,4.130952381,,0,0,0,10,10,10,0,3.333333333,6.118901874,118,3.487887387,9.581704339,4,10,10,10,6.767397932,6.822563237,6.23140069,7.435712795,5,7.5,4.785814418,8.855314534,7.764705817,7.287250156,0.536585366,5.265601604,9.961595769,7.133846848,9.632801261,10,9.182060969,9.48,9.06,7.2928,8.610933333,6.712476024,5.878712993,6.295594508,10,7.456231854,6.153846154,0.774379489,4.794819166,7.425336752,10,5.275,10,8.425,8.333333333,5.687466921,7.695705635,8,9.585570982,10,8.217012812,6.084863738,7.777777778,9.672090694,6.596744698,8.534180978,9.697348185,8.060501012,8.234171275,7.37,48,6.744450937,85,3
