year,ISO_code,countries,region,pf_rol_procedural,pf_rol_civil,pf_rol_criminal,pf_rol,pf_ss_homicide,pf_ss_disappearances_disap,pf_ss_disappearances_violent,pf_ss_disappearances_organized,pf_ss_disappearances_fatalities,pf_ss_disappearances_injuries,pf_ss_disappearances,pf_ss_women_fgm,pf_ss_women_missing,pf_ss_women_inheritance_widows,pf_ss_women_inheritance_daughters,pf_ss_women_inheritance,pf_ss_women,pf_ss,pf_movement_domestic,pf_movement_foreign,pf_movement_women,pf_movement,pf_religion_estop_establish,pf_religion_estop_operate,pf_religion_estop,pf_religion_harassment,pf_religion_restrictions,pf_religion,pf_association_association,pf_association_assembly,pf_association_political_establish,pf_association_political_operate,pf_association_political,pf_association_prof_establish,pf_association_prof_operate,pf_association_prof,pf_association_sport_establish,pf_association_sport_operate,pf_association_sport,pf_association,pf_expression_killed,pf_expression_jailed,pf_expression_influence,pf_expression_control,pf_expression_cable,pf_expression_newspapers,pf_expression_internet,pf_expression,pf_identity_legal,pf_identity_parental_marriage,pf_identity_parental_divorce,pf_identity_parental,pf_identity_sex_male,pf_identity_sex_female,pf_identity_sex,pf_identity_divorce,pf_identity,pf_score,pf_rank,ef_government_consumption,ef_government_transfers,ef_government_enterprises,ef_government_tax_income,ef_government_tax_payroll,ef_government_tax,ef_government,ef_legal_judicial,ef_legal_courts,ef_legal_protection,ef_legal_military,ef_legal_integrity,ef_legal_enforcement,ef_legal_restrictions,ef_legal_police,ef_legal_crime,ef_legal_gender,ef_legal,ef_money_growth,ef_money_sd,ef_money_inflation,ef_money_currency,ef_money,ef_trade_tariffs_revenue,ef_trade_tariffs_mean,ef_trade_tariffs_sd,ef_trade_tariffs,ef_trade_regulatory_nontariff,ef_trade_regulatory_compliance,ef_trade_regulatory,ef_trade_black,ef_trade_movement_foreign,ef_trade_movement_capital,ef_trade_movement_visit,ef_trade_movement,ef_trade,ef_regulation_credit_ownership,ef_regulation_credit_private,ef_regulation_credit_interest,ef_regulation_credit,ef_regulation_labor_minwage,ef_regulation_labor_firing,ef_regulation_labor_bargain,ef_regulation_labor_hours,ef_regulation_labor_dismissal,ef_regulation_labor_conscription,ef_regulation_labor,ef_regulation_business_adm,ef_regulation_business_bureaucracy,ef_regulation_business_start,ef_regulation_business_bribes,ef_regulation_business_licensing,ef_regulation_business_compliance,ef_regulation_business,ef_regulation,ef_score,ef_rank,hf_score,hf_rank,hf_quartile
2010,ALB,Albania,Eastern Europe,5.666666667,5.074784651,4.100515809,4.9,8.27241734,10,10,10,10,10,10,10,5,,,10,8.333333333,8.868583558,10,10,10,10,,,,9.9,8.933333333,9.416666667,,,,,,,,,,,,,10,10,4.666666667,5.75,,,,7.604166667,,,,5,10,10,10,,7.5,7.757250056,55,8.088235294,7.386920981,7,10,7,8.5,7.743789069,3.290797687,4.512965022,4.046221272,8.333333333,4.166666667,5.356252654,5.464661439,5.85604374,7.168331948,0.962962963,5.255863188,9.85748656,9.753056785,9.289546522,10,9.725022467,8.572230314,9,7.78,8.450743438,6.27563444,7.447590542,6.861612491,10,6.410629905,4.615384615,0,3.675338174,7.246923526,5,6.115615616,10,7.038538539,5.566666667,6.106200101,6.858864566,8,6.299740913,10,7.138578708,5.680307383,6.515151515,9.535287834,4.778775891,4.829972396,5.84133988,6.196805817,6.791307688,7.35,38,7.553625028,49,2
2010,DZA,Algeria,Middle East & North Africa,,,,4.465447,9.71869699,10,7.821932075,5,8.99402795,8.781758618,8.119543729,10,5,,,5,6.666666667,8.168302462,5,5,5,5,2.5,0,1.25,7.828888889,4.072222222,4.383703704,5,5,5,3.333333333,4.166666667,5,3.333333333,4.166666667,7.5,0,3.75,4.416666667,10,10,2.666666667,4.25,10,3.333333333,6.666666667,6.702380952,,,,0,0,0,0,,0,5.208712498,146,1.941176471,8.190275298,0,,,,3.37715059,2.536097594,3.275370464,3.469970725,5,5,4.386015534,6.758986816,4.563256986,4.937038159,0.730769231,3.839109257,8.349198852,6.132009732,9.217391304,5,7.174649972,8.613333333,6.28,5.832,6.908444444,4.727261043,7.053280543,5.890270793,8.565539984,4.266934949,0,1.106256413,1.791063787,5.788829752,0,10,7,5.666666667,5.566666667,4.737183522,4.907227812,6,7.755176154,1,4.994375692,2.10327471,3.333333333,8.972160618,3.202839679,6.293947781,4.944593763,4.808358314,5.156466891,5.07,147,5.139356249,151,4
2010,AGO,Angola,Sub-Saharan Africa,,,,3.812441,8.257535077,10,10,7.5,9.942944676,9.94009191,9.476607317,10,7.5,,,5,7.5,8.411380798,0,0,10,3.333333333,5,3.333333333,4.166666667,8.76,7.502777778,6.809814815,2.5,2.5,2.5,0,1.25,5,0,2.5,2.5,0,1.25,2,1.441701448,10,4,3.75,10,6.666666667,10,6.551195445,,,,5,0,0,0,,2.5,5.175389809,147,3.911764706,7.96274186,0,10,9,9.5,5.343626641,2.3632305,2.50642971,2.853712729,3.333333333,5,2.302200397,5.470664342,4.225101802,5.624980896,0.962962963,3.672884046,5.117562709,5.057451371,7.105891761,5,5.57022646,8.886666667,8.54,7.2844,8.237022222,4.707980237,3.330155197,4.019067717,10,5.202005493,2.307692308,0,2.5032326,6.189830635,8,10,8,8.666666667,3.333333333,4.174062214,6.276192419,4,6.258626923,0,4.007035815,1.757279573,3.484848485,6.490948847,2.886828676,5.356882543,6.838969936,4.46929301,5.714331831,5.3,145,5.237694904,147,4
2010,ARG,Argentina,Latin America & the Caribbean,6.333333333,5.366584392,4.343651742,5.3,6.996848529,10,10,7.5,10,10,9.5,10,10,,,10,10,8.832282843,10,10,10,10,10,10,10,9.593333333,7.822222222,9.138518519,10,10,10,6.666666667,8.333333333,7.5,10,8.75,10,6.666666667,8.333333333,9.083333333,7.574222073,10,6,4.25,10,10,10,8.260603153,,,,10,10,10,10,,10,8.181316211,46,6.135294118,6.119042933,6,7,3,5,5.813584263,2.632735965,2.6093075,2.921977105,7.5,4.166666667,5.015583364,6.697361752,3.167397807,4.114294386,0.962962963,4.23403745,7.532735758,9.136862065,4.68,5,6.587399456,3.513333333,7.48,5.7664,5.586577778,2.575933509,8.075536605,5.325735057,10,5.363345702,0.769230769,4.646276935,3.592951135,6.126315993,5,5.723823824,5,5.241274608,3.9,2.822287719,2.914176842,10,2.517253846,10,5.358953068,2.429346053,5.303030303,9.035354332,3.201173772,4.805085087,5.348129516,5.020353177,5.206860284,5.59,139,6.885658106,84,3
2010,ARM,Armenia,Caucasus & Central Asia,,,,4.859971,9.221495348,10,10,7.5,10,10,9.5,10,10,,,10,10,9.573831783,5,5,10,6.666666667,,,,8.077777778,5.972222222,7.025,,,,,,,,,,,,,10,10,3.333333333,3.75,,,,6.770833333,,,,10,10,10,10,,10,7.416263196,70,7.720588235,8.046321526,8,10,8,9,8.19172744,3.005816085,3.876611911,4.624827039,5.833333333,5,5.994144234,9.769091966,4.099087752,7.821920969,1,5.55831481,9.635997494,8.716879998,8.363684891,10,9.179140596,9.146666667,9.44,8.108,8.898222222,5.250786075,7.950648601,6.600717338,10,5.418812684,8.333333333,1.106256413,4.95280081,7.612935093,10,7.50161553,9,8.833871843,6.666666667,6.309649892,7.356360495,10,8.992707249,0,6.554230717,4.119297304,6.363636364,9.713404794,3.849886322,9.52787041,4.395336766,6.32823866,7.238780407,7.56,23,7.488131598,51,2
2010,AUS,Australia,Oceania,8.8,7.232830972,7.236429266,7.8,9.58227969,10,10,10,10,10,10,9.5,10,,,10,9.833333333,9.805204341,10,10,10,10,10,10,10,8.851111111,8.75,9.20037037,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8.333333333,7.75,10,10,10,9.44047619,,,,10,10,10,10,,10,9.265385741,8,4.358823529,6.803814714,10,6,5,5.5,6.665659561,8.53094891,6.622340308,7.587854513,10,9.166666667,6.163151928,8.261947626,8.241652218,8.194229244,1,8.085421268,9.126245813,9.332542287,9.430954864,10,9.472435741,9.246666667,9.44,7.8048,8.830488889,7.645957474,8.910460662,8.278209068,10,7.260090571,1.538461538,0.110625641,2.969725917,7.519605968,10,8.214048392,10,9.404682797,8.9,4.143686192,5.441272808,10,7.927854911,10,7.735468985,3.636619538,9.393939394,9.92861381,7.641991333,8.50393142,8.778183415,7.980546485,8.373566089,8.02,5,8.642692871,5,1
2010,AUT,Austria,Western Europe,8.1,7.439239997,7.479080918,7.7,9.724136258,10,10,10,10,10,10,9.5,10,,,10,9.833333333,9.852489864,10,10,10,10,10,10,10,8.797777778,6.25,8.349259259,10,10,10,10,10,0,10,5,10,6.666666667,8.333333333,8.666666667,10,10,7.333333333,8,10,10,10,9.333333333,,,,10,10,10,10,,10,9.023048392,20,4.070588235,2.022070845,10,4,3,3.5,4.89816477,7.568870402,6.512414111,8.231708884,10,10,6.378971834,8.091044321,8.205300995,7.735550577,1,8.080429014,9.18714225,9.743813027,9.637293653,10,9.642062233,9.632409333,8.98,6.4096,8.340669778,6.773065693,9.078146682,7.925606187,10,6.570481929,3.076923077,6.416287196,5.354564067,7.905210008,8,8.772377129,10,8.92412571,10,4.256896254,2.711749651,8,10,3,6.328107651,4.213445651,8.484848485,8.878431971,7.646354179,7.645048424,8.0944145,7.493757202,7.581996854,7.62,18,8.321524196,17,1
2010,AZE,Azerbaijan,Caucasus & Central Asia,,,,4.3158,9.087734378,10,10,7.5,10,10,9.5,10,10,,,10,10,9.529244793,5,5,10,6.666666667,7.5,0,3.75,8.404444444,6.525,6.226481481,2.5,2.5,7.5,3.333333333,5.416666667,7.5,0,3.75,10,6.666666667,8.333333333,4.5,10,8.895556293,1.333333333,2.25,10,6.666666667,10,7.020793756,,,,5,10,10,10,,7.5,6.652655389,101,4.117647059,8.262088574,0,7,3,5,4.344933908,4.049431777,4.231124937,4.734320926,5.833333333,5.833333333,7.554419476,9.72636614,4.644247135,7.136198458,0.923076923,5.741749521,7.005653534,4.136936109,8.866415374,5,6.252251254,9.386666667,8.22,6.796,8.134222222,4.588373446,4.355917303,4.472145374,10,5.375980693,4.615384615,0,3.330455103,6.484205675,5,10,9,8,8.333333333,7.238812606,7.819069022,8,7.755176154,1,6.691065186,4.47983495,6.515151515,9.715505687,3.459539668,6.854786234,7.477901545,6.417119933,7.036061706,5.97,128,6.311327694,119,4
2010,BHS,Bahamas,Latin America & the Caribbean,,,,6.424465,0,10,10,,10,10,10,,10,,,,10,6.666666667,10,10,10,10,,,,9.444444444,6.247222222,7.845833333,,,,,,,,,,,,,10,10,9,7.5,,,,9.125,,,,10,10,10,10,,10,7.894137083,52,6.558823529,8.970572207,7,10,10,10,8.132348934,,6.8,,10,7.5,5.490581383,3.05946458,,,0.945945946,6.392441377,9.932793111,9.529560952,9.731194523,0,7.298387146,4.04,2.82,2.9636,3.274533333,,7.759810552,7.759810552,10,,0.769230769,7.965046175,4.367138472,6.350370589,10,7.623177511,10,9.207725837,8.9,,,10,6.546424852,10,8.861606213,,6.212121212,8.916098659,,7.913778785,9.349859065,8.09796443,8.72243216,7.38,37,7.637068542,47,2
2010,BHR,Bahrain,Middle East & North Africa,,,,6.084358,9.645407789,10,10,2.5,10,10,8.5,10,5,,,5,6.666666667,8.270691485,10,5,5,6.666666667,2.5,3.333333333,2.916666667,8.011111111,5.088888889,5.338888889,5,5,5,3.333333333,4.166666667,7.5,6.666666667,7.083333333,7.5,3.333333333,5.416666667,5.333333333,10,0,1.666666667,3.25,10,6.666666667,3.333333333,4.988095238,,,,0,10,10,10,,5,6.321460784,118,4.735294118,9.439237057,4,10,10,10,7.043632794,7.175226328,6.020407893,7.863732413,5,8.333333333,4.785814418,8.526603297,7.960600448,7.31419225,0.536585366,5.376333813,8.560953515,5.400266351,9.607623063,10,8.392210732,9.42,8.98,6.256,8.218666667,8.27838667,8.305666627,8.292026648,10,8.145292206,7.5,0.553128207,5.399473471,7.977541696,10,8.421284592,7,8.473761531,10,4.791363058,8.424561833,10,10,10,8.869320815,6.451123319,7.727272727,8.852744215,7.717606992,9.980635194,9.596464247,8.387641116,8.576907821,7.47,29,6.895730392,83,3
