year,ISO_code,countries,region,pf_rol_procedural,pf_rol_civil,pf_rol_criminal,pf_rol,pf_ss_homicide,pf_ss_disappearances_disap,pf_ss_disappearances_violent,pf_ss_disappearances_organized,pf_ss_disappearances_fatalities,pf_ss_disappearances_injuries,pf_ss_disappearances,pf_ss_women_fgm,pf_ss_women_missing,pf_ss_women_inheritance_widows,pf_ss_women_inheritance_daughters,pf_ss_women_inheritance,pf_ss_women,pf_ss,pf_movement_domestic,pf_movement_foreign,pf_movement_women,pf_movement,pf_religion_estop_establish,pf_religion_estop_operate,pf_religion_estop,pf_religion_harassment,pf_religion_restrictions,pf_religion,pf_association_association,pf_association_assembly,pf_association_political_establish,pf_association_political_operate,pf_association_political,pf_association_prof_establish,pf_association_prof_operate,pf_association_prof,pf_association_sport_establish,pf_association_sport_operate,pf_association_sport,pf_association,pf_expression_killed,pf_expression_jailed,pf_expression_influence,pf_expression_control,pf_expression_cable,pf_expression_newspapers,pf_expression_internet,pf_expression,pf_identity_legal,pf_identity_parental_marriage,pf_identity_parental_divorce,pf_identity_parental,pf_identity_sex_male,pf_identity_sex_female,pf_identity_sex,pf_identity_divorce,pf_identity,pf_score,pf_rank,ef_government_consumption,ef_government_transfers,ef_government_enterprises,ef_government_tax_income,ef_government_tax_payroll,ef_government_tax,ef_government,ef_legal_judicial,ef_legal_courts,ef_legal_protection,ef_legal_military,ef_legal_integrity,ef_legal_enforcement,ef_legal_restrictions,ef_legal_police,ef_legal_crime,ef_legal_gender,ef_legal,ef_money_growth,ef_money_sd,ef_money_inflation,ef_money_currency,ef_money,ef_trade_tariffs_revenue,ef_trade_tariffs_mean,ef_trade_tariffs_sd,ef_trade_tariffs,ef_trade_regulatory_nontariff,ef_trade_regulatory_compliance,ef_trade_regulatory,ef_trade_black,ef_trade_movement_foreign,ef_trade_movement_capital,ef_trade_movement_visit,ef_trade_movement,ef_trade,ef_regulation_credit_ownership,ef_regulation_credit_private,ef_regulation_credit_interest,ef_regulation_credit,ef_regulation_labor_minwage,ef_regulation_labor_firing,ef_regulation_labor_bargain,ef_regulation_labor_hours,ef_regulation_labor_dismissal,ef_regulation_labor_conscription,ef_regulation_labor,ef_regulation_business_adm,ef_regulation_business_bureaucracy,ef_regulation_business_start,ef_regulation_business_bribes,ef_regulation_business_licensing,ef_regulation_business_compliance,ef_regulation_business,ef_regulation,ef_score,ef_rank,hf_score,hf_rank,hf_quartile
2011,ALB,Albania,Eastern Europe,5.666666667,5.074784651,4.100515809,4.9,8.059220428,10,10,10,10,10,10,10,7.5,10,5,7.5,8.333333333,8.797517921,10,5,5,6.666666667,10,7.5,8.75,10,8.655555556,9.135185185,10,10,10,7.5,8.75,10,5,7.5,10,7.5,8.75,9,10,10,4.666666667,5.5,10,10,10,8.595238095,,10,10,10,10,10,10,,10,7.764088475,54,8.147058824,7.234604905,7,10,7,8.5,7.720415932,2.636265005,3.800806479,3.56109163,8.333333333,4.166666667,5.356252654,5.629017058,5.072040355,6.146278968,0.962962963,4.874882436,9.981533459,9.809505725,9.31,10,9.775259796,8.572230314,9,7.78,8.450743438,5.754995365,7.447590542,6.601292953,10,5.655816532,4.615384615,0,3.423733716,7.118942527,5,6.136136136,10,7.045378712,5.566666667,6.09330789,6.237513245,8,6.299740913,10,7.032871452,5.177907245,6.515151515,9.63978518,4.21224582,4.829972396,5.998270451,6.062222101,6.713490755,7.24,52,7.502044237,53,2
2011,DZA,Algeria,Middle East & North Africa,,,,4.465447,9.695813839,5,7.582806399,5,9.773671011,9.815315545,7.434358591,10,7.5,5,5,5,7.5,8.210057477,5,5,0,3.333333333,2.5,5,3.75,7.351111111,3.702777778,4.93462963,5,2.5,2.5,5,3.75,2.5,5,3.75,2.5,5,3.75,3.75,10,10,2.666666667,4.25,10,7.5,7.5,7.416666667,,0,10,5,0,0,0,,2.5,5.362339082,140,0.029411765,7.817129014,0,7,,7,3.711635195,2.534953105,2.597464989,2.564055397,5,5,4.386015534,6.475498253,3.37814725,4.27517773,0.730769231,3.481856948,8.769994216,5.627021109,9.096,5,7.123253831,8.48,6.28,5.832,6.864,3.389390868,7.053280543,5.221335706,9.07444668,3.690735229,0,1.106256413,1.598997214,5.6896949,0,9.941747557,9,6.313915852,5.566666667,3.85173441,5.041966778,6,7.755176154,1,4.869257335,2.129371715,3.333333333,8.983307512,2.621838191,6.236939241,4.944593763,4.708230626,5.297134604,5.06,147,5.211169541,147,4
2011,AGO,Angola,Sub-Saharan Africa,,,,3.812441,8.257535077,5,10,7.5,10,10,8.5,10,10,5,5,5,8.333333333,8.363622803,5,0,5,3.333333333,5,5,5,8.522222222,7.547222222,7.023148148,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,3,10,10,3.666666667,3.25,7.5,5,7.5,6.702380952,,10,10,10,0,0,0,,5,5.549902194,138,2.755882353,7.602038583,0,10,9,9.5,4.964480234,2.3632305,2.50642971,2.853712729,3.333333333,4.166666667,2.302200397,5.503535466,4.225101802,5.624980896,0.962962963,3.585590842,5.756264433,4.624744864,7.306,5,5.671752324,9.106666667,8.54,7.3136,8.320088889,4.707980237,3.330155197,4.019067717,10,5.202005493,2.307692308,0,2.5032326,6.210597302,8,10,8,8.666666667,3.333333333,4.174062214,6.276192419,4,0.646567308,0,3.071692546,1.757279573,3.484848485,6.635054083,2.886828676,4.964722371,6.838969936,4.427950521,5.388769911,5.16,145,5.354951097,144,4
2011,ARG,Argentina,Latin America & the Caribbean,6.333333333,5.366584392,4.343651742,5.3,6.996848529,10,10,7.5,10,10,9.5,10,10,10,10,10,10,8.832282843,10,10,10,10,10,10,10,9.371111111,7.127777778,8.832962963,10,10,10,5,7.5,5,5,5,10,10,10,8.5,10,10,6,4.5,10,10,10,8.642857143,,10,10,10,10,10,10,,10,8.130652721,47,5.958823529,5.757685258,6,7,1,4,5.429127197,2.123404008,2.342935203,2.746182703,7.5,4.166666667,5.015583364,6.659563277,3.088316712,4.60693928,0.962962963,4.171251717,8.607640371,9.249298347,5.438,5,7.07373468,4.113333333,7.28,6.1376,5.843644444,2.038246802,7.201320576,4.619783689,8.986691571,4.703932928,0.769230769,4.646276935,3.373146877,5.705816646,5,6.496496496,7,6.165498832,3.9,2.848326397,2.748133513,10,2.517253846,10,5.335618959,2.422037027,5.303030303,9.019677802,2.948904456,4.865532237,5.460222781,5.003234101,5.501450631,5.58,140,6.855326361,87,3
2011,ARM,Armenia,Caucasus & Central Asia,,,,4.859971,9.012373499,10,10,7.5,10,10,9.5,10,7.5,10,10,10,9.166666667,9.226346722,5,5,10,6.666666667,5,5,5,8.3,5.694444444,6.331481481,5,7.5,10,10,10,5,7.5,6.25,10,10,10,7.75,10,10,3,4,10,10,10,8.142857143,,10,10,10,10,10,10,,10,7.41067996,71,7.829411765,8.085286104,10,10,8,9,8.728674467,3.000820685,4.275637625,5.576476965,5.833333333,5,5.994144234,9.80196309,4.645707848,8.218071218,1,5.816239444,9.420557882,8.704971012,8.47,10,9.148882223,9.113333333,9.44,8.108,8.887111111,4.985035628,7.950648601,6.467842115,10,5.625652604,5.833333333,1.106256413,4.188414117,7.385841836,10,8.118776354,9,9.039592118,6.666666667,6.63548061,7.672579088,10,8.992707249,0,6.661238936,4.681203112,6.363636364,9.717606581,4.323155361,9.573167248,5.740455942,6.733204101,7.478011718,7.71,14,7.56033998,51,2
2011,AUS,Australia,Oceania,8.8,7.232830972,7.236429266,7.8,9.558714916,10,10,10,10,10,10,9.5,10,10,10,10,9.833333333,9.797349416,10,10,10,10,10,10,10,8.871111111,8.516666667,9.129259259,10,10,10,10,10,10,7.5,8.75,10,5,7.5,9.25,10,10,8.666666667,7.5,10,10,10,9.452380952,,10,10,10,10,10,10,,10,9.182501375,12,4.441176471,6.858310627,10,6,5,5.5,6.699871774,8.339675238,6.371528976,7.424279238,10,9.166666667,6.163151928,8.229076502,8.44074519,7.91501081,1,8.005570506,9.085356036,9.220136468,9.322,10,9.406873126,9.32,9.44,7.648,8.802666667,7.754873618,8.910460662,8.33266714,10,7.341995763,3.076923077,0.110625641,3.50984816,7.661295492,10,8.469104798,10,9.489701599,8.9,3.715422095,5.088376618,8,7.927854911,10,7.271942271,3.426311667,9.393939394,9.92861381,7.649246658,9.06859193,8.778183415,8.040814479,8.267486116,8.01,6,8.596250688,6,1
2011,AUT,Austria,Western Europe,8.1,7.439239997,7.479080918,7.7,9.64538437,10,10,10,10,10,10,9.5,10,10,10,10,9.833333333,9.826239235,10,10,10,10,10,10,10,8.722222222,7.127777778,8.616666667,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7.333333333,8,10,10,10,9.333333333,,10,10,10,10,10,10,,10,9.176559809,13,4.205882353,3.348524047,10,4,3,3.5,5.2636016,6.98605066,6.154273306,8.081644027,10,10,6.378971834,8.091044321,8.313388437,8.039258552,1,8.004959015,9.258738992,9.738330094,9.346,10,9.585767272,9.65768705,8.94,6.2264,8.274695683,6.471787263,8.994303672,7.733045467,10,6.569139402,3.076923077,6.416287196,5.354116559,7.840464427,8,9.194560605,10,9.064853535,10,4.189092143,2.530193832,8,10,3,6.286547662,3.790589022,8.484848485,8.987140551,7.012367458,7.651382706,8.0944145,7.336790454,7.56273055,7.65,21,8.413279904,13,1
2011,AZE,Azerbaijan,Caucasus & Central Asia,,,,4.3158,9.127892889,10,10,7.5,10,10,9.5,10,7.5,5,5,5,7.5,8.70929763,5,5,5,5,2.5,2.5,2.5,7.151111111,6.341666667,5.330925926,2.5,5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3,0,8.909853853,1.333333333,2,7.5,7.5,7.5,4.963312455,,10,10,10,10,10,10,,10,6.085698246,125,5.470588235,8.379630235,0,8,4,6,4.962554618,4.007823218,4.599827712,4.927178272,5.833333333,5.833333333,7.554419476,9.627752769,4.997190523,7.104959255,0.923076923,5.82113439,8.782826046,3.606724778,8.43,5,6.454887706,9.34,8.2,6.58,8.04,4.828295877,4.605693311,4.716994594,10,5.605041638,4.615384615,0,3.406808751,6.540950836,5,10,8,7.666666667,8.333333333,7.388823532,7.411985157,8,7.755176154,1,6.648219696,5.10563256,6.515151515,9.719707474,3.756979709,6.932245456,7.601204136,6.605153475,6.973346613,6.15,125,6.117849123,124,4
2011,BHS,Bahamas,Latin America & the Caribbean,,,,6.424465,0,10,10,,10,10,10,,10,,,,10,6.666666667,10,10,10,10,,,,9.666666667,6.802777778,8.234722222,,,,,,,,,,,,,10,10,9,7.5,,,,9.125,,10,10,10,10,10,10,,10,7.942748194,51,6.617647059,8.997275204,7,10,10,10,8.153730566,,6.8,,10,7.5,5.490581383,3.256691323,,,0.945945946,6.430820635,9.759469214,9.315825807,9.366,0,7.110323755,3.666666667,2.82,2.9636,3.150088889,,7.759810552,7.759810552,10,,0.769230769,7.965046175,4.367138472,6.319259478,10,6.475053992,10,8.825017997,8.9,,,10,6.546424852,10,8.861606213,,6.212121212,8.899291514,,7.965797847,9.349859065,8.10676741,8.597797207,7.32,46,7.631374097,49,2
2011,BHR,Bahrain,Middle East & North Africa,,,,6.084358,9.780953774,0,10,2.5,10,10,6.5,10,7.5,0,0,0,5.833333333,7.371429036,5,10,5,6.666666667,7.5,7.5,7.5,7.388888889,4.672222222,6.52037037,5,2.5,7.5,5,6.25,7.5,7.5,7.5,7.5,7.5,7.5,5.75,0,2.176920507,0.666666667,1.25,10,7.5,2.5,3.441941025,,0,0,0,10,10,10,,5,6.101844565,124,4.058823529,9.301907357,4,10,10,10,6.840182722,6.785754758,5.911822839,7.777001552,5,8.333333333,4.785814418,8.526603297,7.598398655,6.579662402,0.536585366,5.232789497,8.864530053,5.390561369,9.928,10,8.545772855,9.513333333,8.98,6.6748,8.389377778,7.255125655,8.305666627,7.780396141,10,8.102420403,7.5,0.553128207,5.38518287,7.888739197,10,9.805717953,9,9.601905984,10,5.020758678,8.376387908,10,10,10,8.899524431,6.308236138,7.727272727,8.950771316,7.640146268,9.982806948,9.596464247,8.367616274,8.956348896,7.49,30,6.795922283,91,3
