year,ISO_code,countries,region,pf_rol_procedural,pf_rol_civil,pf_rol_criminal,pf_rol,pf_ss_homicide,pf_ss_disappearances_disap,pf_ss_disappearances_violent,pf_ss_disappearances_organized,pf_ss_disappearances_fatalities,pf_ss_disappearances_injuries,pf_ss_disappearances,pf_ss_women_fgm,pf_ss_women_missing,pf_ss_women_inheritance_widows,pf_ss_women_inheritance_daughters,pf_ss_women_inheritance,pf_ss_women,pf_ss,pf_movement_domestic,pf_movement_foreign,pf_movement_women,pf_movement,pf_religion_estop_establish,pf_religion_estop_operate,pf_religion_estop,pf_religion_harassment,pf_religion_restrictions,pf_religion,pf_association_association,pf_association_assembly,pf_association_political_establish,pf_association_political_operate,pf_association_political,pf_association_prof_establish,pf_association_prof_operate,pf_association_prof,pf_association_sport_establish,pf_association_sport_operate,pf_association_sport,pf_association,pf_expression_killed,pf_expression_jailed,pf_expression_influence,pf_expression_control,pf_expression_cable,pf_expression_newspapers,pf_expression_internet,pf_expression,pf_identity_legal,pf_identity_parental_marriage,pf_identity_parental_divorce,pf_identity_parental,pf_identity_sex_male,pf_identity_sex_female,pf_identity_sex,pf_identity_divorce,pf_identity,pf_score,pf_rank,ef_government_consumption,ef_government_transfers,ef_government_enterprises,ef_government_tax_income,ef_government_tax_payroll,ef_government_tax,ef_government,ef_legal_judicial,ef_legal_courts,ef_legal_protection,ef_legal_military,ef_legal_integrity,ef_legal_enforcement,ef_legal_restrictions,ef_legal_police,ef_legal_crime,ef_legal_gender,ef_legal,ef_money_growth,ef_money_sd,ef_money_inflation,ef_money_currency,ef_money,ef_trade_tariffs_revenue,ef_trade_tariffs_mean,ef_trade_tariffs_sd,ef_trade_tariffs,ef_trade_regulatory_nontariff,ef_trade_regulatory_compliance,ef_trade_regulatory,ef_trade_black,ef_trade_movement_foreign,ef_trade_movement_capital,ef_trade_movement_visit,ef_trade_movement,ef_trade,ef_regulation_credit_ownership,ef_regulation_credit_private,ef_regulation_credit_interest,ef_regulation_credit,ef_regulation_labor_minwage,ef_regulation_labor_firing,ef_regulation_labor_bargain,ef_regulation_labor_hours,ef_regulation_labor_dismissal,ef_regulation_labor_conscription,ef_regulation_labor,ef_regulation_business_adm,ef_regulation_business_bureaucracy,ef_regulation_business_start,ef_regulation_business_bribes,ef_regulation_business_licensing,ef_regulation_business_compliance,ef_regulation_business,ef_regulation,ef_score,ef_rank,hf_score,hf_rank,hf_quartile
2008,ALB,Albania,Eastern Europe,5.666666667,5.074784651,4.100515809,4.9,8.756539449,10,10,10,10,10,10,10,5,,,10,8.333333333,9.029957594,10,10,10,10,,,,9.684444444,8.705555556,9.195,,,,,,,,,,,,,10,10,4.666666667,6,,,,7.666666667,,,,5,10,10,10,,7.5,7.777697732,52,8.864705882,9.588555858,6,10,7,8.5,8.238315435,3.227888851,4.386750833,3.717370681,8.333333333,4.166666667,5.173968897,8.088613819,5.081990156,6.536582489,0.962962963,5.312341118,8.880132511,9.373080887,9.328151516,10,9.395341229,8.572230314,8.96,7.776,8.436076771,6.274729057,7.447590542,6.861159799,10,5.496440695,0.833333333,0,2.109924676,6.851790312,5,5.950003882,10,6.983334627,5.6,6.149367496,7.197824468,8,4.808450556,3,5.792607087,3.967287106,6.688034188,9.661341423,4.294326866,4.82128538,7.264924342,6.116199884,6.297380533,7.22,47,7.498848866,49,2
2008,DZA,Algeria,Middle East & North Africa,,,,4.465447,9.623645126,10,6.758528906,5,7.619096453,8.11822563,7.499170198,10,5,,,5,6.666666667,7.92982733,5,5,5,5,2.5,0,1.25,7.784444444,4.027777778,4.354074074,5,5,5,3.333333333,4.166666667,5,3.333333333,4.166666667,7.5,0,3.75,4.416666667,10,10,2.666666667,4.25,10,3.333333333,6.666666667,6.702380952,,,,0,0,0,0,,0,5.146130752,139,2.441176471,8.043041435,0,,,,3.494739302,3.016673338,3.522704167,3.536541588,5,5,4.386015534,6.777886053,4.393215824,5.477585353,0.777777778,4.060308332,7.565299563,8.781753057,9.111212257,5,7.614566219,8.493333333,6.28,5.832,6.868444444,5.9494441,7.303056551,6.626250326,8.159126365,2.944257705,0,1.106256413,1.350171373,5.750998127,0,4.276652642,9,4.425550881,5.6,3.663099625,4.911656105,6,8.423993919,1,4.933124942,2.337136164,4.353233831,9.00286575,3.752154608,6.932965779,4.944593763,5.220491649,4.85972249,5.16,132,5.153065376,138,4
2008,AGO,Angola,Sub-Saharan Africa,,,,3.812441,8.257535077,5,10,7.5,10,10,8.5,10,7.5,,,5,7.5,8.085845026,0,0,10,3.333333333,5,3.333333333,4.166666667,8.651111111,7.913888889,6.910555556,2.5,2.5,2.5,0,1.25,5,0,2.5,2.5,0,1.25,2,10,10,4,4.5,10,6.666666667,10,7.880952381,,,,5,0,0,0,,2.5,5.237055633,138,2.911764706,9,0,,,,3.970588235,,3.3,,3.333333333,5,2.302200397,2.775232196,,,1,3.342153185,3.354763935,4.271324299,7.505257318,5,5.032836388,9.146666667,8.54,7.312,8.332888889,,1.315803877,1.315803877,10,,0.769230769,0,0.384615385,5.008327038,5,4.784521799,7,5.5948406,3.3,,,4,4.623038076,0,2.980759519,,4.393939394,6.140574606,,4.487275186,6.951063201,5.493213097,4.689604405,4.41,139,4.823527817,141,4
2008,ARG,Argentina,Latin America & the Caribbean,6.333333333,5.366584392,4.343651742,5.3,6.996848529,10,10,7.5,10,10,9.5,10,10,,,10,10,8.832282843,10,10,10,10,10,10,10,9.444444444,7.127777778,8.857407407,10,10,10,6.666666667,8.333333333,7.5,10,8.75,10,6.666666667,8.333333333,9.083333333,10,10,5.666666667,4.75,10,10,10,8.630952381,,,,10,10,10,10,,10,8.190240023,43,6.341176471,6.933790723,6,7,3,5,6.068741798,2.348909258,2.2073425,3.194203416,7.5,4.166666667,5.015583364,6.716260989,2.972019113,4.457528226,1,4.286501504,7.38875632,8.326315871,6.868,5,6.895768048,5.584,7.68,6.38,6.548,3.796211852,8.075536605,5.935874229,10,5.166385708,3.846153846,4.646276935,4.55293883,6.759203265,5,6.087873391,8,6.362624464,5.6,2.872809915,3.439293622,8,1.192907194,10,5.184168455,2.794412127,2.5,9.010496871,3.716998718,5.143246997,4.92217511,4.681221637,5.409338185,5.88,120,7.035120011,69,2
2008,ARM,Armenia,Caucasus & Central Asia,,,,4.859971,8.665850589,10,10,,10,10,10,10,10,,,10,10,9.55528353,5,5,10,6.666666667,,,,8.428888889,6.3,7.364444444,,,,,,,,,,,,,10,6.56147059,3,3.25,,,,5.702867648,,,,10,10,10,10,,10,7.320560977,71,8.214705882,7.836512262,10,10,8,9,8.762804536,2.095980544,3.133423333,5.371275205,5.833333333,5,7.162290369,9.825789679,3.976549126,8.035632303,1,5.60380821,8.139625574,9.180357447,8.210009329,10,8.882498088,8.746666667,9.44,8.108,8.764888889,5.354983704,7.490388557,6.42268613,10,5.946918199,9.166666667,1.106256413,5.40661376,7.648547195,10,8.850542317,9,9.283514106,6.7,6.025258655,7.193722476,8,8.794818879,0,6.118966668,3.731631698,5.147679325,9.492440411,3.743227312,8.495142272,3.487381322,5.682917057,7.028465944,7.59,22,7.455280489,52,2
2008,AUS,Australia,Oceania,8.8,7.232830972,7.236429266,7.8,9.510835028,10,10,10,10,10,10,9.5,10,,,10,9.833333333,9.781389454,10,10,10,10,10,10,10,9,9.722222222,9.574074074,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,7.75,10,10,10,9.392857143,,,,10,10,10,10,,10,9.292040485,7,4.544117647,7.14986376,10,6,5,5.5,6.798495352,9.073534356,6.771248333,8.617067183,10,9.166666667,6.229989306,8.29481875,8.324613283,7.116618811,1,8.177172965,8.709626949,9.863833461,9.129471352,10,9.42573294,9.24,9.3,7.1,8.546666667,7.34629445,8.910460662,8.128377556,10,7.224970256,2.307692308,0.110625641,3.214429402,7.472368406,10,9.909622028,10,9.969874009,10,4.9540317,6.276470422,10,9.62917504,10,8.47661286,3.660211078,4.602272727,9.927563364,8.5883661,7.291255904,8.800602068,7.145045207,8.530510692,8.08,6,8.686020243,4,1
2008,AUT,Austria,Western Europe,8.1,7.439239997,7.479080918,7.7,9.721770933,10,10,10,10,10,10,9.5,10,,,10,9.833333333,9.851701422,10,10,10,10,10,10,10,8.795555556,6.388888889,8.394814815,10,10,10,10,10,0,10,5,10,6.666666667,8.333333333,8.666666667,10,10,7.333333333,8,10,10,10,9.333333333,,,,10,10,10,10,,10,9.027406837,21,4.217647059,2.544412042,10,4,3,3.5,5.065514775,8.462078646,7.174885,8.951907255,10,10,6.378971834,7.916023832,8.067479703,8.429548948,1,8.375655024,8.958754899,9.852188108,9.363548698,10,9.543622926,9.606666667,8.88,5.608,8.031555556,7.640390151,9.078146682,8.359268416,10,7.713911185,3.076923077,6.416287196,5.735707153,8.031632781,10,8.875953133,10,9.625317711,10,3.845723755,2.146208937,6.7,9.81458752,3,5.917753369,4.218642813,4.250764526,8.879482417,8.489661703,7.625864598,8.083205174,6.924603539,7.489224873,7.7,16,8.363703418,15,1
2008,AZE,Azerbaijan,Caucasus & Central Asia,,,,4.3158,9.129440026,10,8.858890385,7.5,9.809815064,9.7033115,9.17440339,10,10,,,10,10,9.434614472,5,5,10,6.666666667,7.5,0,3.75,8.655555556,7.033333333,6.47962963,2.5,2.5,7.5,3.333333333,5.416666667,7.5,0,3.75,10,6.666666667,8.333333333,4.5,10,4.294451925,1.666666667,2.25,10,6.666666667,10,6.41111218,,,,5,10,10,10,,7.5,6.593344466,98,4.65,9.792915531,0,7,3,5,4.860728883,4.788709333,4.876318333,5.361877333,6.666666667,5.833333333,7.554419476,9.72636614,5.48832225,7.312974583,0.923076923,6.154806351,6.880021138,7.490308879,5.841684171,5,6.303003547,9.186666667,8.18,6.36,7.908888889,4.809761667,3.185621207,3.997691437,10,6.480573333,5,0,3.826857778,6.433359526,5,8.508803858,9,7.502934619,10,6.765015667,7.59222175,8,7.960462719,1,6.886283356,5.288375167,7.784810127,9.64937173,4.506352944,6.874099973,5.785293248,6.648050532,7.012422836,6.15,105,6.371672233,107,4
2008,BHS,Bahamas,Latin America & the Caribbean,,,,6.424465,1.625463181,10,10,,10,10,10,,10,,,,10,7.208487727,10,10,10,10,,,,9.926666667,7.638888889,8.782777778,,,,,,,,,,,,,10,10,9,7.5,,,,9.125,,,,10,10,10,10,,10,8.146710404,45,7.158823529,8.992157743,7,10,10,10,8.287745318,,7.7,,10,7.5,5.490581383,4.983946134,,,0.945945946,6.94207022,8.990642069,9.197403678,9.102088009,0,6.822533439,5,4.02,4.618,4.546,,8.011339582,8.011339582,10,,0.769230769,7.965046175,4.367138472,6.731119513,10,8.4710927,10,9.490364233,10,,,10,7.589637758,10,9.39740944,,,8.918199553,,7.328618324,9.349859065,8.532225647,9.139999773,7.58,24,7.863355202,40,2
2008,BHR,Bahrain,Middle East & North Africa,,,,6.084358,9.784674185,10,10,7.5,9.700936368,9.641123642,9.368412002,10,5,,,5,6.666666667,8.606584285,10,10,5,8.333333333,2.5,3.333333333,2.916666667,9.315555556,5.6,5.944074074,5,5,5,3.333333333,4.166666667,7.5,6.666666667,7.083333333,7.5,3.333333333,5.416666667,5.333333333,10,10,2,3.25,10,6.666666667,3.333333333,6.464285714,,,,0,10,10,10,,5,6.780238217,95,2.811764706,9.523480046,4,10,10,10,6.583811188,6.607972986,4.866935833,7.492519009,5,8.333333333,4.785814418,9.118283524,7.394530066,7.772617653,0.536585366,5.239073753,7.712131663,9.351694201,9.294799367,10,9.089656308,9.533430762,8.96,6.068,8.187143587,7.620854934,8.054137597,7.837496266,10,7.804015099,6.666666667,0.553128207,5.007936657,7.758144128,10,9.00736938,9,9.335789793,10,4.26009254,7.957973362,10,9.62917504,10,8.641206824,4.53193515,3.245614035,9.066636102,7.6219526,9.901185197,9.596464247,7.327297889,8.434764835,7.42,34,7.100119108,67,2
